Year,State,District,ST Name,Religion,Persons,Male,Female,Persons (Rural),Male (Rural),Female (Rural),Persons (Urban),Male (Urban),Female (Urban)
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,All religions,"204,167","102,287","101,880","178,878","89,740","89,138","25,289","12,547","12,742"
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Hindu,"87,998","44,203","43,795","84,003","42,205","41,798","3,995","1,998","1,997"
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Muslim,"1,222",620,602,"1,007",519,488,215,101,114
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Christian,"54,337","26,989","27,348","51,129","25,534","25,595","3,208","1,455","1,753"
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Sikh,19,10,9,13,6,7,6,4,2
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Buddhist,"58,655","29,489","29,166","40,856","20,534","20,322","17,799","8,955","8,844"
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Jain,12,7,5,7,3,4,5,4,1
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Other religions and persuasions,"1,865",943,922,"1,811",917,894,54,26,28
"2,001",WEST BENGAL,Darjiling,All Scheduled Tribes,Religion not stated,59,26,33,52,22,30,7,4,3
"2,001",WEST BENGAL,Darjiling,Asur,All religions,492,226,266,488,223,265,4,3,1
"2,001",WEST BENGAL,Darjiling,Asur,Hindu,443,206,237,443,206,237,0,0,0
"2,001",WEST BENGAL,Darjiling,Asur,Muslim,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Asur,Christian,44,16,28,44,16,28,0,0,0
"2,001",WEST BENGAL,Darjiling,Asur,Jain,4,3,1,0,0,0,4,3,1
"2,001",WEST BENGAL,Darjiling,Baiga,All religions,52,29,23,52,29,23,0,0,0
"2,001",WEST BENGAL,Darjiling,Baiga,Hindu,43,22,21,43,22,21,0,0,0
"2,001",WEST BENGAL,Darjiling,Baiga,Christian,9,7,2,9,7,2,0,0,0
"2,001",WEST BENGAL,Darjiling,Bedia etc.,All religions,47,26,21,37,20,17,10,6,4
"2,001",WEST BENGAL,Darjiling,Bedia etc.,Hindu,32,17,15,30,16,14,2,1,1
"2,001",WEST BENGAL,Darjiling,Bedia etc.,Buddhist,15,9,6,7,4,3,8,5,3
"2,001",WEST BENGAL,Darjiling,Bhumij,All religions,56,31,25,42,21,21,14,10,4
"2,001",WEST BENGAL,Darjiling,Bhumij,Hindu,50,28,22,36,18,18,14,10,4
"2,001",WEST BENGAL,Darjiling,Bhumij,Christian,6,3,3,6,3,3,0,0,0
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,All religions,"45,014","22,440","22,574","27,855","13,812","14,043","17,159","8,628","8,531"
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Hindu,"2,484","1,201","1,283","1,365",647,718,"1,119",554,565
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Muslim,188,94,94,51,30,21,137,64,73
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Christian,"1,546",756,790,"1,089",539,550,457,217,240
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Sikh,7,5,2,6,4,2,1,1,0
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Buddhist,"40,770","20,373","20,397","25,339","12,589","12,750","15,431","7,784","7,647"
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Jain,3,2,1,2,1,1,1,1,0
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Other religions and persuasions,12,7,5,3,2,1,9,5,4
"2,001",WEST BENGAL,Darjiling,Bhutia etc.,Religion not stated,4,2,2,0,0,0,4,2,2
"2,001",WEST BENGAL,Darjiling,Birhor,All religions,7,5,2,1,1,0,6,4,2
"2,001",WEST BENGAL,Darjiling,Birhor,Hindu,7,5,2,1,1,0,6,4,2
"2,001",WEST BENGAL,Darjiling,Birjia,All religions,995,497,498,994,496,498,1,1,0
"2,001",WEST BENGAL,Darjiling,Birjia,Hindu,953,477,476,952,476,476,1,1,0
"2,001",WEST BENGAL,Darjiling,Birjia,Christian,23,10,13,23,10,13,0,0,0
"2,001",WEST BENGAL,Darjiling,Birjia,Buddhist,1,0,1,1,0,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Birjia,Other religions and persuasions,18,10,8,18,10,8,0,0,0
"2,001",WEST BENGAL,Darjiling,Chakma,All religions,3,1,2,1,0,1,2,1,1
"2,001",WEST BENGAL,Darjiling,Chakma,Buddhist,3,1,2,1,0,1,2,1,1
"2,001",WEST BENGAL,Darjiling,Chero,All religions,222,109,113,164,82,82,58,27,31
"2,001",WEST BENGAL,Darjiling,Chero,Hindu,198,98,100,145,72,73,53,26,27
"2,001",WEST BENGAL,Darjiling,Chero,Christian,19,10,9,19,10,9,0,0,0
"2,001",WEST BENGAL,Darjiling,Chero,Buddhist,5,1,4,0,0,0,5,1,4
"2,001",WEST BENGAL,Darjiling,Chik Baraik,All religions,"2,699","1,359","1,340","2,638","1,328","1,310",61,31,30
"2,001",WEST BENGAL,Darjiling,Chik Baraik,Hindu,"2,625","1,323","1,302","2,566","1,292","1,274",59,31,28
"2,001",WEST BENGAL,Darjiling,Chik Baraik,Muslim,7,3,4,7,3,4,0,0,0
"2,001",WEST BENGAL,Darjiling,Chik Baraik,Christian,61,29,32,59,29,30,2,0,2
"2,001",WEST BENGAL,Darjiling,Chik Baraik,Buddhist,6,4,2,6,4,2,0,0,0
"2,001",WEST BENGAL,Darjiling,Garo,All religions,36,19,17,14,7,7,22,12,10
"2,001",WEST BENGAL,Darjiling,Garo,Hindu,19,11,8,7,5,2,12,6,6
"2,001",WEST BENGAL,Darjiling,Garo,Christian,17,8,9,7,2,5,10,6,4
"2,001",WEST BENGAL,Darjiling,Gond,All religions,"1,020",502,518,995,483,512,25,19,6
"2,001",WEST BENGAL,Darjiling,Gond,Hindu,"1,007",494,513,982,475,507,25,19,6
"2,001",WEST BENGAL,Darjiling,Gond,Muslim,2,1,1,2,1,1,0,0,0
"2,001",WEST BENGAL,Darjiling,Gond,Christian,10,6,4,10,6,4,0,0,0
"2,001",WEST BENGAL,Darjiling,Gond,Buddhist,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Gorait,All religions,26,12,14,16,8,8,10,4,6
"2,001",WEST BENGAL,Darjiling,Gorait,Hindu,26,12,14,16,8,8,10,4,6
"2,001",WEST BENGAL,Darjiling,Hajang,All religions,39,20,19,21,6,15,18,14,4
"2,001",WEST BENGAL,Darjiling,Hajang,Hindu,39,20,19,21,6,15,18,14,4
"2,001",WEST BENGAL,Darjiling,Ho,All religions,60,34,26,60,34,26,0,0,0
"2,001",WEST BENGAL,Darjiling,Ho,Hindu,48,27,21,48,27,21,0,0,0
"2,001",WEST BENGAL,Darjiling,Ho,Christian,11,6,5,11,6,5,0,0,0
"2,001",WEST BENGAL,Darjiling,Ho,Buddhist,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Karmali,All religions,15,9,6,15,9,6,0,0,0
"2,001",WEST BENGAL,Darjiling,Karmali,Hindu,14,8,6,14,8,6,0,0,0
"2,001",WEST BENGAL,Darjiling,Karmali,Christian,1,1,0,1,1,0,0,0,0
"2,001",WEST BENGAL,Darjiling,Kharwar,All religions,735,361,374,698,341,357,37,20,17
"2,001",WEST BENGAL,Darjiling,Kharwar,Hindu,696,341,355,659,321,338,37,20,17
"2,001",WEST BENGAL,Darjiling,Kharwar,Christian,38,20,18,38,20,18,0,0,0
"2,001",WEST BENGAL,Darjiling,Kharwar,Other religions and persuasions,1,0,1,1,0,1,0,0,0
